Atom_MR_Std,EState_VSA7,Atom1_ESP All average (kcal/mol),Iaverage / mA cm-2,Fun_PEOE-Charge_Std,NumAliphaticRings,Long/Sum Size Ratio,VSA_EState7,NumAliphaticCarbocycles,c1ccncc1,Tri_boron,PEOE_VSA10,NumSaturatedCarbocycles,SMR_VSA4,Arylchloride,SlogP_VSA5,NumHDonors,Farthest Distance,Atom1_ESP Pi (kcal/mol),Fun_PEOE-Charge_Delta,SlogP_VSA4,SlogP_VSA7,Tertiary_arom_amine,Alkylfluoride,Alcohol,NumSaturatedRings,Molecular Size Long,Conju_PEOE-Charge_Delta,Conju_PEOE-Charge_Std,c1nc_nH_n1,c1c_nH_cn1,c1ccc2sc_n+_c2c1,c1cc_nH_c1,Atom_PEOE-Charge_Sum,Alkene,HOMO,SMR_VSA10,SMR_VSA5,Amide,Secondary_arom_amine,Trifluoromethyl
1.77764523,6.066367068,-9.25458,106.6666667,0.188696196,0,0.43361589,0.0,0,0,0,5.749511833,0,0.0,0,0.0,2,6.01,11.948828,0.458945057,0.0,0.0,0,0,0,0,8.645,0.0,0.0,0,0,0,0,-1.94e-16,0,-0.218486,12.62878915,4.895483476,0,0,0
1.825184863,36.39820241,3.78867,133.3333333,0.032257273,0,0.473706998,3.585942933,0,2,0,10.05191996,0,0.0,0,0.0,0,9.887,12.56414,0.092182836,0.0,0.0,0,0,0,0,12.035,0.0,0.0,0,0,0,0,2.5e-16,0,-0.24105,21.58779595,10.05191996,0,0,0
1.582524118,60.66367068,-38.11977,95.33333333,0.130029791,0,0.479738799,0.0,0,0,0,0.0,0,0.0,0,0.0,2,10.989,9.924862,0.260059581,0.0,0.0,0,0,0,0,13.224,0.0,0.0,0,0,0,0,-3.19e-16,0,-0.219054,28.70508288,0.0,0,2,0
1.776883567,22.89285968,13.89606,154.3333333,0.0,0,0.411417439,0.0,0,0,0,0.0,0,0.0,0,0.0,0,4.569,12.353236,0.0,0.0,0.0,0,0,0,0,6.969,0.0,0.0,0,0,0,0,6.94e-17,0,-0.242094,11.33678588,0.0,0,0,0
1.807674697,11.33678588,17.07925,125.3333333,3.49e-05,0,0.568201062,0.0,0,0,0,0.0,0,0.0,0,0.0,0,12.363,12.983163,7.41e-05,0.0,0.0,0,0,0,0,14.763,0.0,0.0,0,0,0,0,6.94e-17,0,-0.201635,34.01035763,0.0,0,0,0
1.785668905,5.38006277,27.58461,114.6666667,0.0,0,0.410788382,1.768518519,0,0,0,0.0,0,0.0,0,0.0,0,4.536,11.977493,0.0,0.0,0.0,0,0,0,0,6.93,0.0,0.0,0,0,0,0,1.39e-17,0,-0.257285,11.33678588,0.0,0,0,0
1.624980483,23.70964048,25.63214,149.3333333,0.104982712,0,0.45145777,0.0,0,0,0,0.0,0,0.0,0,0.0,0,6.837,13.142882,0.244982764,0.0,0.0,0,0,0,0,9.012,0.0,0.0,0,0,0,0,-8.33e-17,0,-0.244095,21.55340651,0.0,0,0,0
1.415979824,18.19910121,-8.79411,85.0,0.018592871,0,0.384932682,0.0,0,0,0,0.0,0,0.0,0,16.69035448,1,9.482,12.736787,0.042938395,0.0,0.0,0,0,0,0,11.665,0.0,0.0,0,0,0,0,1.39e-17,0,-0.236745,12.62878915,4.747022453,0,0,0
1.318711284,0.0,-12.08586,86.66666667,0.0,4,0.377268512,8.922384259,4,0,0,0.0,4,17.75371814,0,38.52492974,1,6.2,13.369381,0.0,17.75371814,0.0,0,0,0,4,8.544,0.0,0.0,0,0,0,0,-2.01e-16,0,-0.236527,12.62878915,43.27195219,0,0,0
1.917574516,24.26546827,9.80366,96.33333333,0.087082308,0,0.48928377,0.0,0,0,0,0.0,0,0.0,1,0.0,1,6.669,14.564278,0.204238713,0.0,5.022633314,0,0,0,0,9.885,0.0,0.0,0,0,0,0,0.0,0,-0.227297,24.22972904,4.895483476,0,0,0
2.121860956,24.26546827,4.96537,104.0,0.050243454,0,0.492093207,0.0,0,0,0,0.0,0,0.0,0,0.0,2,6.814,14.537963,0.106582462,0.0,0.0,0,0,0,0,9.989,0.0,0.0,0,0,0,0,-2.78e-16,0,-0.212278,25.2575783,9.790966951,0,0,0
2.121860956,24.26546827,4.44571,100.6666667,0.050186129,0,0.465759438,0.0,0,0,0,0.0,0,0.0,0,0.0,2,7.149,14.269183,0.106460855,0.0,0.0,0,0,0,0,9.549,0.0,0.0,0,0,0,0,-1.53e-16,0,-0.223647,25.2575783,9.790966951,0,0,0
2.121860956,24.26546827,0.35031,99.66666667,0.048581662,0,0.411049216,0.0,0,0,0,0.0,0,0.0,0,0.0,2,5.989,14.501425,0.103057268,0.0,0.0,0,0,0,0,8.043,0.0,0.0,0,0,0,0,8.33e-17,0,-0.222637,25.2575783,9.790966951,0,0,0
1.786343447,18.19910121,-3.48563,138.3333333,0.014361757,0,0.452567817,1.710648148,0,1,0,0.0,0,0.0,0,0.0,1,5.992,12.473503,0.028723514,0.0,0.0,0,0,0,0,8.592,0.0,0.0,0,0,0,0,6.94e-17,0,-0.236057,12.62878915,5.025959979,0,0,0
