Atom1_ESP All area (Ang^2),c1ccncc1,Atom1_ALIE Max value,Atom1_ESP Minimal value (kcal/mol),Mid-Fun_MR_Max,NumAromaticRings,Conju_LogP_Max,Conju_PEOE-Charge_Mean,Mid-Fun_LogP_Mean,PEOE_VSA2,Conju-Part-Wt (Max-Conju),c1ccsc1,Conju_PEOE-Charge_Sum,Thioacetal,Atom1_ESP All average (kcal/mol),BalabanJ,Mid-Fun_LogP_Max,Conju_PEOE-Charge_Max,Amide,PEOE_VSA9,SlogP_VSA8,VSA_EState7,Atom_LogP_Delta,Tri_boron,Atom1_ALIE Min value,Conju_LogP_Mean,Dialkylthioether,HallKierAlpha,SMR_VSA1,PEOE_VSA12,Conju_LogP_Min,Fun_MR_Min,Fun_PEOE-Charge_Min,MinAbsEStateIndex,MaxAbsEStateIndex,Atom_LogP_Min
16.97231,0,14.959232,-9.234966,52.0705,2,3.0406,5.55e-17,1.971933333,4.794537184,188.232,2,5.55e-17,0,11.0938,2.339063254,3.0406,5.55e-17,0,9.754294387,0.0,0.0,0.902,0,9.761846,3.0406,0,-0.93,4.794537184,5.783244946,3.0406,5.2285,-0.07446798,0.138888889,11.58935185,-0.2783
16.24495,0,14.152864,-25.394179,5.007,0,-0.4309,-0.165646911,-0.4309,4.794537184,28.01,0,-0.165646911,0,2.47761,2.249544095,-0.4309,-0.165646911,0,0.0,0.0,1.62037037,0.9265,0,7.939219,-0.4309,0,0.02,4.794537184,0.0,-0.4309,5.007,-0.165646911,0.443287037,10.44972222,-0.2783
17.43208,0,14.647743,-24.801675,8.5317,0,0.3578,-0.228841974,-0.2904,4.794537184,74.084,0,-0.228841974,0,3.24825,2.367351851,-0.2904,-0.228841974,0,0.0,0.0,0.0,1.3578,0,8.681939,0.3578,0,-0.18,4.794537184,0.0,0.3578,8.5317,-0.165592894,0.12037037,10.09490741,-0.7096
14.00117,0,13.691268,-21.640881,8.986,0,0.0,0.0,-0.08825,0.0,0.0,0,0.0,0,8.52355,3.292478156,0.3805,0.0,0,12.20793278,0.0,-1.479938272,0.9375,0,8.345829,0.0,0,0.62,10.21305479,0.0,0.0,2.2188,-0.178930585,0.279490741,8.751157407,-0.2893
15.83556,0,14.69948,-32.088495,35.3588,1,1.6809,-1.94e-16,1.739733333,0.0,120.132,0,-1.94e-16,0,-9.25458,3.134861511,2.2379,-1.94e-16,0,0.0,0.0,0.0,0.9375,0,8.538081,1.6809,0,-0.63,5.106527395,0.0,1.6809,2.2188,-0.21364281,0.232253086,8.84287037,-0.2893
16.1283,2,14.138556,-24.43562,60.188,2,3.276,1.39e-16,2.616133333,0.0,212.258,0,1.39e-16,0,3.78867,1.957475896,3.276,1.39e-16,0,0.0,0.0,3.585942933,0.9721,0,9.129102,3.276,2,-1.0,0.0,0.0,3.276,7.591,-0.061455224,1.002919501,4.208154289,-0.3239
22.00293,0,11.549214,-61.889757,30.0647,2,3.4955,-4.3e-16,1.5628,0.0,216.224,0,-4.3e-16,0,-38.11977,1.952194148,1.5628,-4.3e-16,0,0.0,0.0,0.0,1.167,0,7.480233,3.4955,0,-1.87,0.0,0.0,3.4955,3.9627,-0.163616121,0.594814815,5.195804989,-0.5188
17.19519,0,14.670631,-4.669143,24.319,1,1.7481,8.33e-17,1.7481,0.0,80.111,1,8.33e-17,0,13.89606,3.125,1.7481,8.33e-17,0,0.0,0.0,0.0,0.5007,0,9.496015,1.7481,0,-0.3,0.0,0.0,1.7481,24.319,8.33e-17,1.712962963,2.041666667,0.123
17.30439,0,15.373786,-5.050432,70.945,3,5.2051,1.8e-16,4.046233333,0.0,240.333,3,1.8e-16,0,17.07925,2.016215527,5.2051,1.8e-16,0,0.0,19.50858877,0.0,0.5007,0,9.540164,5.2051,0,-0.9,0.0,0.0,5.2051,23.313,-4.94e-05,1.363709373,2.213842593,0.123
17.29254,0,15.215149,9.826998,22.114,1,1.1431,1.39e-17,1.1431,4.983978521,82.107,0,1.39e-17,0,27.58461,3.125,1.1431,1.39e-17,0,5.510539274,0.0,1.768518519,0.9476,0,9.969981,1.1431,0,-0.37,0.0,0.0,1.1431,22.114,1.39e-17,1.601851852,3.740740741,-0.3239
